census_tract,calenviro,sb535,sd_cei,white_house,doe_ejmt,cdc_svi,cdc_ej,ejscreen
6001400100,1,0,0,1,1,1,1,1
6001400200,1,0,0,1,1,1,1,1
6001400300,1,0,0,1,1,1,1,1
6001400400,1,0,0,1,1,1,1,1
6001400500,1,0,0,1,1,1,1,1
6001400600,1,0,0,1,1,1,1,1
6001400700,1,0,0,1,1,1,1,1
6001400800,1,0,0,1,1,1,1,1
6001400900,1,1,0,1,1,1,1,1
6001401000,1,1,0,1,1,1,1,1
6001401100,1,0,0,1,1,1,1,1
6001401200,1,0,0,1,1,1,1,1
6001401300,1,1,0,1,1,1,1,1
6001401400,1,1,0,1,1,1,1,1
6001401500,1,1,0,1,1,1,1,1
6001401600,1,1,0,1,1,1,1,1
6001401700,1,1,0,1,1,1,1,1
6001401800,1,1,0,1,1,1,1,1
6001402200,1,1,0,1,1,1,1,1
6001402400,1,1,0,1,1,1,1,1
6001402500,1,1,0,1,1,1,1,1
6001402600,1,1,0,1,1,1,1,1
6001402700,1,1,0,1,1,1,1,1
6001402800,1,1,0,1,1,0,1,0
6001402900,1,0,0,1,1,1,1,1
6001403000,1,1,0,1,1,1,1,1
6001403100,1,0,0,1,1,1,1,1
6001403300,1,1,0,1,1,0,1,0
6001403400,1,0,0,1,1,0,1,0
6001403501,1,0,0,1,1,1,1,1
6001403502,1,0,0,1,1,1,1,1
6001403600,1,0,0,1,1,1,1,1
6001403701,1,0,0,1,1,1,1,1
6001403702,1,0,0,1,1,1,1,1
6001403800,1,0,0,1,1,1,1,1
6001403900,1,0,0,1,1,1,1,1
6001404000,1,0,0,1,1,1,1,1
6001404101,1,0,0,1,1,1,1,1
6001404102,1,0,0,1,1,1,1,1
6001404200,1,0,0,1,1,1,1,1
6001404300,1,0,0,1,1,1,1,1
6001404400,1,0,0,1,1,1,1,1
6001404501,1,0,0,1,1,1,1,1
6001404502,1,0,0,1,1,1,1,1
6001404600,1,0,0,1,1,1,1,1
6001404700,1,0,0,1,1,1,1,1
6001404800,1,0,0,1,1,1,1,1
6001404900,1,0,0,1,1,1,1,1
6001405000,1,0,0,1,1,1,1,1
6001405100,1,0,0,1,1,1,1,1
6001405200,1,0,0,1,1,1,1,1
6001405301,1,0,0,1,1,1,1,1
6001405302,1,0,0,1,1,1,1,1
6001405401,1,1,0,1,1,1,1,1
6001405402,1,0,0,1,1,1,1,1
6001405500,1,0,0,1,1,1,1,1
6001405600,1,0,0,1,1,1,1,1
6001405700,1,0,0,1,1,1,1,1
6001405800,1,0,0,1,1,1,1,1
6001405901,1,0,0,1,1,1,1,1
6001405902,1,1,0,1,1,1,1,1
6001406000,1,1,0,1,1,1,1,1
6001406100,1,1,0,1,1,1,1,1
6001406201,1,1,0,1,1,1,1,1
6001406202,1,1,0,1,1,1,1,1
6001406300,1,0,0,1,1,1,1,1
